player_id,club_id,first_name,last_name,club,position,nationality,shirt_num,best_player_counter
1,101,Alexis,Sanchez  ,Arsenal,LW,Chile,51,0
2,101,Mesut,Ozil  ,Arsenal,AM,Germany,69,0
3,101,Petr,Cech  ,Arsenal,GK,Czech Republic,86,0
4,101,Theo,Walcott  ,Arsenal,RW,England,48,0
5,101,Laurent,Koscielny  ,Arsenal,CB,France,98,0
6,101,Hector,Bellerin  ,Arsenal,RB,Spain,70,0
7,101,Olivier,Giroud  ,Arsenal,CF,France,39,0
8,101,Nacho,Monreal  ,Arsenal,LB,Spain,26,0
9,101,Shkodran,Mustafi  ,Arsenal,CB,Germany,7,0
10,101,Alex,Iwobi  ,Arsenal,LW,Nigeria,90,0
11,101,Granit,Xhaka  ,Arsenal,DM,Switzerland,82,0
12,101,Alex,Oxlade-Chamberlain  ,Arsenal,RM,England,72,0
13,101,Jack,Wilshere  ,Arsenal,CM,England,51,0
14,101,Aaron,Ramsey  ,Arsenal,CM,Wales,71,0
15,101,Francis,Coquelin  ,Arsenal,DM,France,59,0
16,101,Gabriel,Paulista  ,Arsenal,CB,Brazil,97,0
17,101,Kieran,Gibbs  ,Arsenal,LB,England,60,0
18,101,Santi,Cazorla  ,Arsenal,CM,Spain,63,0
19,101,Danny,Welbeck  ,Arsenal,CF,England,77,0
20,101,Rob,Holding  ,Arsenal,CB,England,16,0
21,101,Mohamed,Elneny  ,Arsenal,DM,Egypt,62,0
22,101,Lucas,Perez  ,Arsenal,CF,Spain,97,0
23,101,Emiliano,Martinez  ,Arsenal,GK,Argentina,14,0
24,101,David,Ospina  ,Arsenal,GK,Colombia,20,0
25,101,Carl,Jenkinson  ,Arsenal,RB,England,98,0
26,101,Per,Mertesacker  ,Arsenal,CB,Germany,38,0
27,101,Sead,Kolasinac  ,Arsenal,LB,Bosnia,92,0
28,101,Alexandre,Lacazette  ,Arsenal,CF,France,85,0
29,100,Joshua,King  ,AFC Bournemouth,SS,Norway,91,0
30,100,Jermain,Defoe  ,AFC Bournemouth,CF,England,81,0
31,100,Charlie,Daniels  ,AFC Bournemouth,LB,England,65,0
32,100,Artur,Boruc  ,AFC Bournemouth,GK,Poland,45,0
33,100,Steve,Cook  ,AFC Bournemouth,CB,England,40,0
34,100,Junior,Stanislas  ,AFC Bournemouth,LW,England,2,0
35,100,Adam,Smith  ,AFC Bournemouth,RB,England,70,0
36,100,Ryan,Fraser  ,AFC Bournemouth,LW,Scotland,33,0
37,100,Simon,Francis  ,AFC Bournemouth,RB,England,79,0
38,100,Benik,Afobe  ,AFC Bournemouth,CF,Congo DR,2,0
39,100,Harry,Arter  ,AFC Bournemouth,CM,Ireland,25,0
40,100,Marc,Pugh  ,AFC Bournemouth,LW,England,49,0
41,100,Callum,Wilson  ,AFC Bournemouth,CF,England,90,0
42,100,Nathan,Ake  ,AFC Bournemouth,CB,Netherlands,58,0
43,100,Dan,Gosling  ,AFC Bournemouth,CM,England,18,0
44,100,Andrew,Surman  ,AFC Bournemouth,CM,England,16,0
45,100,Jordon,Ibe  ,AFC Bournemouth,RW,England,66,0
46,100,Lewis,Cook  ,AFC Bournemouth,CM,England,3,0
47,100,Lys,Mousset  ,AFC Bournemouth,CF,France,98,0
48,100,Adam,Federici  ,AFC Bournemouth,GK,Australia,3,0
49,100,Max,Gradel  ,AFC Bournemouth,LW,Cote d'Ivoire,55,0
50,100,Tyrone,Mings  ,AFC Bournemouth,CB,England,37,0
51,100,Brad,Smith  ,AFC Bournemouth,LB,Australia,78,0
